"filename", "language", "PHP", "JavaScript", "CSS", "SCSS", "Django HTML", "Django txt", "XML", "Pug", "comment", "blank", "total"
"c:\xampp\htdocs\README.txt", "Django txt", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\xampp\htdocs\css\style-form-search.css", "CSS", 0, 0, 393, 0, 0, 0, 0, 0, 0, 22, 415
"c:\xampp\htdocs\css\style-form.css", "CSS", 0, 0, 493, 0, 0, 0, 0, 0, 4, 44, 541
"c:\xampp\htdocs\css\style.css", "CSS", 0, 0, 262, 0, 0, 0, 0, 0, 0, 6, 268
"c:\xampp\htdocs\css\style_results.css", "CSS", 0, 0, 177, 0, 0, 0, 0, 0, 0, 33, 210
"c:\xampp\htdocs\css\videorequest.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\deprecated\form.html", "Django HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\xampp\htdocs\deprecated\form.pug", "Pug", 0, 0, 0, 0, 0, 0, 0, 69, 0, 3, 72
"c:\xampp\htdocs\deprecated\index.pug", "Pug", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 67
"c:\xampp\htdocs\form.html", "Django HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\xampp\htdocs\insert.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 27, 141
"c:\xampp\htdocs\js\check_search.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\js\form.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 8, 12, 62
"c:\xampp\htdocs\js\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\xampp\htdocs\js\insert_autofill.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 76
"c:\xampp\htdocs\js\results.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\license.txt", "Django txt", 0, 0, 0, 0, 0, 6, 0, 0, 0, 7, 13
"c:\xampp\htdocs\login.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"c:\xampp\htdocs\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\private\front\inc\brand_options.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\private\front\inc\db.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\private\front\inc\footer.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\private\front\inc\functions.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\private\front\inc\header.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\xampp\htdocs\private\front\inc\period_options.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\private\front\inc\seller_options.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\private\front\insert_front.php", "PHP", 247, 0, 0, 0, 0, 0, 0, 0, 0, 36, 283
"c:\xampp\htdocs\private\front\login_front.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 12, 59
"c:\xampp\htdocs\private\front\register_front.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 12, 82
"c:\xampp\htdocs\private\front\search_front.php", "PHP", 217, 0, 0, 0, 0, 0, 0, 0, 0, 38, 255
"c:\xampp\htdocs\public\play_button.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\register.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\xampp\htdocs\removeimage.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\xampp\htdocs\results.html", "Django HTML", 0, 0, 0, 0, 127, 0, 0, 0, 0, 26, 153
"c:\xampp\htdocs\results.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 112, 14, 181
"c:\xampp\htdocs\scss\style.scss", "SCSS", 0, 0, 0, 278, 0, 0, 0, 0, 12, 46, 336
"c:\xampp\htdocs\search.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 7, 7, 25
"c:\xampp\htdocs\toastr\toastr.css", "CSS", 0, 0, 223, 0, 0, 0, 0, 0, 5, 1, 229
"c:\xampp\htdocs\toastr\toastr.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\toastr\toastr.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"Total", "-", 968, 169, 1572, 278, 175, 10, 1, 136, 149, 407, 3865
